Language	Area	Lexifier	First major settlement	End of influence	Conditions of contact	Other languages in contact	Class	Position	Lexifier's Phoneme	Creole's Phoneme	Place Stability	Manner Stability	Example_converted	Reference	Gloss	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-initial	b	b	1	1	[bɛga]	Araújo & Hagemeijer 2013: 28	belly	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-medial	b	b	1	1	[kaˈbelu]	Araújo & Hagemeijer 2013: 48	hair	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-initial	t	t	1	1	[ˈtudu]	Araújo & Hagemeijer 2013: 87	everything	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-medial	t	t	1	1	[mata]	Araújo & Hagemeijer 2013: 64	to kill	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-initial	d	d	1	1	[ˈdɔʃi]	Araújo & Hagemeijer 2013: 34	sweet	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-medial	d	d	1	1	[ˈtudu]	Araújo & Hagemeijer 2013: 87	everything	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-initial	k	k	1	1	[kaˈbelu]	Araújo & Hagemeijer 2013: 48	hair	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-medial	k	k	1	1	[ˈsɛku]	Araújo & Hagemeijer 2013: 82	dry	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-initial	g	g	1	1	[ˈgodo]	Araújo & Hagemeijer 2013: 134	fat	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Stops	word-medial	g	g	1	1	[bɛga]	Araújo & Hagemeijer 2013: 28	belly	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	v	v	1	1	[ˈvɛ]	Araújo & Hagemeijer 2013: 90	old	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	v	b	0	0	[laˈba]	Araújo & Hagemeijer 2013: 57	to wash	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	f	f	1	1	[ˈfogo]	Araújo & Hagemeijer 2013: 40	fire	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	f	f	1	1	[muˈfada]	Araújo & Hagemeijer 2013: 67	pillow	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	s	s	1	1	[ˈsuzu]	Araújo & Hagemeijer 2013: 84	dirty	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	s	s	1	1	[ˈglɔsu]	Araújo & Hagemeijer 2013: 44	thick	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	z	z	1	1	[ˈzɔna]	Araújo & Hagemeijer 2013: 97	zone	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	z	z	1	1	[aza]	Araújo & Hagemeijer 2013: 25	wing	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	t̠ʃ	s	0	0	[sɛˈla]	Araújo & Hagemeijer 2013: 82	to smell	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	t̠ʃ	s	0	0	[ˈbisu]	Araújo & Hagemeijer 2013: 29	animal	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-initial	ʒ	z	0	1	[zũtu]	Araújo & Hagemeijer 2013: 98	next to	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Fricatives	word-medial	ʒ	z	0	1	[ˈsuzu]	Araújo & Hagemeijer 2013: 84	dirty	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Rhotics	word-medial	ɾ	l	1	0	[sɛˈla]	Araújo & Hagemeijer 2013: 82	to smell	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Rhotics	word-final	ɾ	∅	0	0	[ˈmwala]	Araújo & Hagemeijer 2013: 66	woman	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Rhotics	word-initial	r	l	1	0	[labu]	Araújo & Hagemeijer 2013: 57	tail	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Rhotics	word-medial	r	∅	0	0	[bɛga]	Araújo & Hagemeijer 2013: 28	belly	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Laterals	word-initial	l	l	1	1	[laˈba]	Araújo & Hagemeijer 2013: 57	to wash	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Laterals	word-medial	l	l	1	1	[kaˈbelu]	Araújo & Hagemeijer 2013: 48	hair	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Laterals	word-final	l	l	1	1	[sɔlɔ]	Araújo & Hagemeijer 2013: 83	sun	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Laterals	word-medial	ʎ	l	0	1	[ˈmwala]	Araújo & Hagemeijer 2013: 66	woman	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Nasals	word-initial	m	m	1	1	[ˈmwala]	Araújo & Hagemeijer 2013: 66	woman	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Nasals	word-medial	m	m	1	1	[ˈnɔmi]	Araújo & Hagemeijer 2013: 70	name	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Nasals	word-initial	n	n	1	1	[ˈnɔmi]	Araújo & Hagemeijer 2013: 70	name	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Nasals	word-medial	n	n	1	1	[ˈpɛna]	Araújo & Hagemeijer 2013: 74	feather	
Santome	Gulf of Guinea	Portuguese	1493	1975	Slavery	Edo, Kikongo	Nasals	word-medial	ɲ	Ø	0	0	[kaˈmja]	Araújo & Hagemeijer 2013: 48	road	
Fa d'Ambô	Gulf of Guinea	Portuguese	1543	1968	Slavery	Edo, Kikongo	Stops	word-initial	p	p	1	1	[povu]	Hagemeijer Maurer & Zamora 2020: 319	people	
