Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,LanguageContact,Class,Position,LexifierPhoneme,CreolePhoneme,PlaceStability,MannerStability,Word,Gloss,Source
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-medial,b,b,1,1,[kaˈbelu],hair,AraujoHagemeijer2013[48]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-initial,t,t,1,1,[ˈtudu],everything,AraujoHagemeijer2013[87]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-medial,t,t,1,1,[mata],to kill,AraujoHagemeijer2013[64]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-initial,d,d,1,1,[ˈdɔʃi],sweet,AraujoHagemeijer2013[34]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-medial,d,d,1,1,[ˈtudu],everything,AraujoHagemeijer2013[87]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-initial,k,k,1,1,[kaˈbelu],hair,AraujoHagemeijer2013[48]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-medial,k,k,1,1,[ˈsɛku],dry,AraujoHagemeijer2013[82]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-initial,g,g,1,1,[ˈgodo],fat,AraujoHagemeijer2013[134]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Stops,word-medial,g,g,1,1,[bɛga],belly,AraujoHagemeijer2013[28]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,v,v,1,1,[ˈvɛ],old,AraujoHagemeijer2013[90]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,v,b,0,0,[laˈba],to wash,AraujoHagemeijer2013[57]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,f,f,1,1,[ˈfogo],fire,AraujoHagemeijer2013[40]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,f,f,1,1,[muˈfada],pillow,AraujoHagemeijer2013[67]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,s,s,1,1,[ˈsuzu],dirty,AraujoHagemeijer2013[84]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,s,s,1,1,[ˈglɔsu],thick,AraujoHagemeijer2013[44]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,z,z,1,1,[ˈzɔna],zone,AraujoHagemeijer2013[97]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,z,z,1,1,[aza],wing,AraujoHagemeijer2013[25]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,t̠ʃ,s,0,0,[sɛˈla],to smell,AraujoHagemeijer2013[82]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,t̠ʃ,s,0,0,[ˈbisu],animal,AraujoHagemeijer2013[29]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-initial,ʒ,z,0,1,[zũtu],next to,AraujoHagemeijer2013[98]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Fricatives,word-medial,ʒ,z,0,1,[ˈsuzu],dirty,AraujoHagemeijer2013[84]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Rhotics,word-medial,ɾ,l,1,0,[sɛˈla],to smell,AraujoHagemeijer2013[82]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Rhotics,word-final,ɾ,∅,0,0,[ˈmwala],woman,AraujoHagemeijer2013[66]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Rhotics,word-initial,r,l,1,0,[labu],tail,AraujoHagemeijer2013[57]
Santome,Gulf of Guinea,Portuguese,1493,1975,Slavery,"Edo, Kikongo",Rhotics,word-medial,r,∅,0,0,[bɛga],belly,AraujoHagemeijer2013[28]
